--------- beginning of radio
11-20 16:28:10.100 E/PHONE   ( 1186): ServiceState.getRadioTechnology() DEPRECATED will be removed *******
11-20 16:28:10.113 D/TelephonyRegistry( 1186): notifyCellLocationForSubscriber: subId=1 cellLocation=CellIdentityLte:{ mCi=168987920 mPci=490 mTac=35650 mEarfcn=5110 mBands=[] mBandwidth=2147483647 mMcc=310 mMnc=410 mAlphaLong=AT&T mAlphaShort=AT&T mAdditionalPlmns={} mCsgInfo=null}
11-20 19:53:05.404 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 6 lines
11-20 19:53:05.409 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 5 lines
11-20 20:00:58.937 I/chatty  (  943): uid=1001(radio) NasModemEndPoin expire 10 lines
11-20 20:00:58.981 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 10 lines
11-20 20:00:59.007 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 11 lines
11-20 20:00:59.008 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 8 lines
11-20 20:00:59.035 I/chatty  ( 1042): uid=1001(radio) DispatcherModul expire 3 lines
11-20 20:00:59.070 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 9 lines
11-20 20:00:59.071 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 8 lines
11-20 20:00:59.082 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 13 lines
11-20 20:00:59.108 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 23 lines
11-20 20:00:59.119 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 2 lines
11-20 20:11:28.196 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 25 lines
11-20 20:13:43.809 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 4 lines
11-20 20:20:53.306 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 20:20:53.323 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 20 lines
11-20 20:20:53.336 I/chatty  ( 1984): uid=1001(radio) Binder:1984_C expire 1 line
11-20 20:22:45.249 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 11 lines
11-20 20:38:05.565 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 21 lines
11-20 20:45:41.459 I/chatty  ( 1984): uid=1001(radio) Binder:1984_C expire 1 line
11-20 20:45:41.478 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 20:45:41.497 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 21 lines
11-20 20:46:49.730 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 9 lines
11-20 20:52:41.175 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 41 lines
11-20 21:07:54.368 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 5 lines
11-20 21:12:29.611 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 21:12:29.631 I/chatty  ( 1984): uid=1001(radio) Binder:1984_10 expire 1 line
11-20 21:16:57.085 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 16 lines
11-20 21:16:57.090 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 9 lines
11-20 21:32:00.124 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 35 lines
11-20 21:36:04.611 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 4 lines
11-20 21:41:17.757 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 21:41:17.821 I/chatty  ( 1984): uid=1001(radio) Binder:1984_2 expire 1 line
11-20 21:44:03.669 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 11 lines
11-20 21:44:03.699 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 3 lines
11-20 21:44:03.706 I/chatty  ( 1042): uid=1001(radio) DispatcherModul expire 3 lines
